osm_id,amenity,leisure,operator,access,wheelchair,osm_user,osm_modif,tags,metro_id
2147483647,,playground,,,,,,,1
2147483647,,playground,,,,,,,2
2147483647,,playground,,no,,,,,3
2147483647,,playground,,,,,,"""playground""=>""climbingframe;climbingwall""",4
2147483647,,playground,,,,,,"""playground""=>""climbingframe;climbingwall""",5
2147483647,,playground,,,,,,"""playground""=>""climbingframe;slide""",6
2147483647,,playground,,,,,,,7
2147483647,,playground,,,,,,,8
2147483647,,playground,,,,,,,9
2147483647,,playground,,,,,,,10
2147483647,,playground,,,,,,,11
2147483647,,playground,,,,,,"""playground""=>""springy""",12
427603766,,playground,,no,,,,,13
449312264,,playground,,no,,,,,14
109505003,,playground,,,,,,,15
382649932,,playground,,,,,,"""addr:postcode""=>""34970""",16
263649291,,playground,,,,,,,17
398190983,,playground,,,,,,,18
398190668,,playground,,,,,,,19
419215610,,playground,,,,,,,20
480353697,,playground,,,,,,,21
480353700,,playground,,,,,,,22
382644796,,playground,,,,,,"""addr:postcode""=>""34570""",23
606743239,,playground,,,,,,,24
420291070,,playground,,,,,,,25
399444350,,playground,,,,,,,26
401424893,,playground,,,,,,,27
399442349,,playground,,,,,,,28
53141198,,playground,,,,,,,29
557054131,,playground,,,,,,,30
399445394,,playground,,,,,,,31
372226643,,playground,,,,,,,32
610532023,,playground,,,,,,,33
476896889,,playground,,,,,,,34
399445397,,playground,,,,,,,35
610537952,,playground,,,,,,,36
413958937,,playground,,,,,,,37
582904539,,playground,,,,,,,38
277031853,,playground,,,,,,,39
425520601,,playground,,,,,,,40
468764599,,playground,,,,,,,41
236595772,,playground,,,,,,"""addr:postcode""=>""34880""",42
425515194,,playground,,,,,,,43
381969472,,playground,,,,,,,44
381969473,,playground,,,,,,,45
410052515,,playground,,,,,,,46
379842564,,playground,,,,,,,47
489776234,,playground,,,,,,,48
375398431,,playground,,,,,,,49
375403859,,playground,,,,,,,50
427583654,,playground,,,,,,,51
427583653,,playground,,no,,,,,52
427583655,,playground,,,,,,,53
346369781,,playground,,,,,,,54
553535189,,playground,,,,,,,55
284414456,,playground,,,,,,,56
427583652,,playground,,no,,,,,57
284414739,,playground,,,,,,,58
433238105,,playground,,,,,,,59
433226314,,playground,,,,,,,60
427583650,,playground,,no,,,,,61
427583651,,playground,,,,,,,62
457200969,,playground,,no,,,,,63
26731003,,playground,,,,,,,64
457200970,,playground,,no,,,,,65
427583648,,playground,,no,,,,,66
427583649,,playground,,no,,,,,67
427583657,,playground,,no,,,,,68
489537740,,playground,Ville de Saint-Jean-de-Védas,,,,,,69
314261762,,playground,Ville de Saint-Jean-de-Védas,,,,,,70
316346592,,playground,Ville de Saint-Jean-de-Védas,,,,,,71
432571374,,playground,,,,,,,72
456751031,,playground,Ville de Saint-Jean-de-Védas,,,,,,73
432571375,,playground,,,,,,,74
417585652,,playground,,,,,,,75
411408571,,playground,,no,,,,,76
